21 - Wine sales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Period;;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wine;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
Dominican Republic;North America;Caribbean;518;2.378;4,6;3.177;15.288;4,81;3.438;15.968;4,64;15;143;9,5;14;1.416;104,89;108;1.037;9,6;---;---;---;540;11.311;20,95;162;1.278;7,89;225;1.931;8,58;---;---;---
Czech Republic;Europe;Eastern Europe;23.126;90.461;3,91;78.553;268.108;3,41;107.808;393.924;3,65;10.949;40.135;3,67;1.114;18.323;16,45;19.160;116.342;6,07;1.318;35.756;27,13;17.806;233.163;13,09;8.804;50.256;5,71;5.910;66.614;11,27;---;---;---
Romania;Europe;Eastern Europe;210;1.016;4,84;15.428;60.124;3,9;3.872;18.280;4,72;1.890;6.875;3,64;46;1.318;28,81;119;947;7,99;3;415;138,33;2.201;37.659;17,11;176;1.233;7,03;14;111;8,2;---;---;---
Russia;Europe;Eastern Europe;48.137;198.709;4,13;94.122;381.457;4,05;162.032;643.091;3,97;2.678;10.174;3,8;3.504;105.496;30,11;18.055;153.042;8,48;1.687;65.103;38,6;40.383;594.456;14,72;23.047;172.222;7,47;12.154;98.020;8,07;---;---;---
Saint Martin;North America;Caribbean;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;27;440;16,3;---;---;---;---;---;---;---;---;---
Sao Tome and Principe;Africa;Middle Africa;---;---;---;225;931;4,14;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Serbia;Europe;Southern Europe;117;593;5,07;---;---;---;72;365;5,07;---;---;---;14;360;25,26;48;360;7,5;27;2.394;88,67;326;4.825;14,82;74;390;5,25;---;---;---;---;---;---
Singapore;Asia;South-Eastern Asia;797;4.244;5,32;21.835;138.756;6,35;21.862;140.149;6,41;23;129;5,75;335;16.924;50,48;14.704;86.853;5,91;216;40.535;187,88;16.337;208.401;12,76;80.145;462.907;5,78;645;8.509;13,19;---;---;---
Sri Lanka;Asia;Southern Asia;---;---;---;270;1.536;5,69;248;1.422;5,75;---;---;---;---;---;---;32;268;8,51;---;---;---;---;---;---;185;1.332;7,22;---;---;---;---;---;---
Sweden;Europe;Northern Europe;17.251;78.052;4,52;2.727;15.943;5,85;173.970;724.252;4,16;36;324;9;4.556;100.473;22,06;35.372;292.386;8,27;2.538;51.693;20,37;13.532;184.524;13,64;14.191;75.860;5,35;26.280;195.141;7,43;918;8.840;9,63
